date,product,campaign,channel,spend,revenue,leads,roas
2026-07-30,Vantage CRM,Campaign 1,Google Ads,20800,66769,2,3.21
2026-07-30,Vantage CRM,Campaign 1,Facebook,8900,24168,1,2.72
2026-07-30,Vantage CRM,Campaign 1,Instagram,3400,7829,1,2.3
2026-07-30,Vantage CRM,Campaign 1,LinkedIn,18600,57156,1,3.07
2026-07-30,Vantage CRM,Campaign 2,Google Ads,14200,50805,1,3.58
2026-07-30,Vantage CRM,Campaign 2,Facebook,6100,16806,1,2.76
2026-07-30,Vantage CRM,Campaign 2,Instagram,2600,5881,1,2.26
2026-07-30,Vantage CRM,Campaign 2,LinkedIn,11500,40127,1,3.49
2026-07-30,Lumiere Skincare,Campaign 1,Google Ads,6300,21293,8,3.38
2026-07-30,Lumiere Skincare,Campaign 1,Facebook,18200,70808,29,3.89
2026-07-30,Lumiere Skincare,Campaign 1,Instagram,19400,81717,33,4.21
2026-07-30,Lumiere Skincare,Campaign 1,LinkedIn,2100,5466,2,2.6
2026-07-30,Lumiere Skincare,Campaign 2,Google Ads,4700,16724,6,3.56
2026-07-30,Lumiere Skincare,Campaign 2,Facebook,11600,47204,18,4.07
2026-07-30,Lumiere Skincare,Campaign 2,Instagram,13300,59011,22,4.44
2026-07-30,Lumiere Skincare,Campaign 2,LinkedIn,1500,4217,2,2.81
2026-07-30,Solara Fitband,Campaign 1,Google Ads,15400,56534,18,3.67
2026-07-30,Solara Fitband,Campaign 1,Facebook,8900,28107,9,3.16
2026-07-30,Solara Fitband,Campaign 1,Instagram,12500,44921,11,3.59
2026-07-30,Solara Fitband,Campaign 1,LinkedIn,4300,11653,3,2.71
2026-07-30,Solara Fitband,Campaign 2,Google Ads,10500,38711,12,3.69
2026-07-30,Solara Fitband,Campaign 2,Facebook,6600,21390,6,3.24
2026-07-30,Solara Fitband,Campaign 2,Instagram,9600,37019,10,3.86
2026-07-30,Solara Fitband,Campaign 2,LinkedIn,2900,7010,2,2.42
2026-07-30,Aurelia Jewellery,Campaign 1,Google Ads,8000,25893,5,3.24
2026-07-30,Aurelia Jewellery,Campaign 1,Facebook,11900,39721,7,3.34
2026-07-30,Aurelia Jewellery,Campaign 1,Instagram,14100,50449,8,3.58
2026-07-30,Aurelia Jewellery,Campaign 1,LinkedIn,2900,6738,1,2.32
2026-07-30,Aurelia Jewellery,Campaign 2,Google Ads,4800,13819,2,2.88
2026-07-30,Aurelia Jewellery,Campaign 2,Facebook,8900,28229,5,3.17
2026-07-30,Aurelia Jewellery,Campaign 2,Instagram,10500,40119,7,3.82
2026-07-30,Aurelia Jewellery,Campaign 2,LinkedIn,2200,5305,1,2.41
2026-07-31,Vantage CRM,Campaign 1,Google Ads,21100,76150,2,3.61
2026-07-31,Vantage CRM,Campaign 1,Facebook,9100,23297,1,2.56
2026-07-31,Vantage CRM,Campaign 1,Instagram,3600,8260,1,2.29
2026-07-31,Vantage CRM,Campaign 1,LinkedIn,18100,54991,1,3.04
2026-07-31,Vantage CRM,Campaign 2,Google Ads,14100,48449,1,3.44
2026-07-31,Vantage CRM,Campaign 2,Facebook,6800,18406,1,2.71
2026-07-31,Vantage CRM,Campaign 2,Instagram,2600,5553,1,2.14
2026-07-31,Vantage CRM,Campaign 2,LinkedIn,13400,46870,1,3.5
2026-07-31,Lumiere Skincare,Campaign 1,Google Ads,6600,23376,8,3.54
2026-07-31,Lumiere Skincare,Campaign 1,Facebook,17600,67106,23,3.81
2026-07-31,Lumiere Skincare,Campaign 1,Instagram,17900,72811,28,4.07
2026-07-31,Lumiere Skincare,Campaign 1,LinkedIn,2100,5410,2,2.58
2026-07-31,Lumiere Skincare,Campaign 2,Google Ads,4200,14790,5,3.52
2026-07-31,Lumiere Skincare,Campaign 2,Facebook,12300,51350,18,4.17
2026-07-31,Lumiere Skincare,Campaign 2,Instagram,12000,50340,19,4.2
2026-07-31,Lumiere Skincare,Campaign 2,LinkedIn,1400,4139,2,2.96
2026-07-31,Solara Fitband,Campaign 1,Google Ads,14700,55716,14,3.79
2026-07-31,Solara Fitband,Campaign 1,Facebook,8900,27763,7,3.12
2026-07-31,Solara Fitband,Campaign 1,Instagram,14400,49032,12,3.4
2026-07-31,Solara Fitband,Campaign 1,LinkedIn,4600,12014,3,2.61
2026-07-31,Solara Fitband,Campaign 2,Google Ads,9900,34773,10,3.51
